[2013-08-16 15:53:33] phpDocumentor.INFO: Collecting files ..  [] []
[2013-08-16 15:53:33] phpDocumentor.INFO: OK [] []
[2013-08-16 15:53:33] phpDocumentor.INFO: Initializing parser ..  [] []
[2013-08-16 15:53:33] phpDocumentor.INFO: OK [] []
[2013-08-16 15:53:33] phpDocumentor.INFO: Parsing files [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/index.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/api.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/setup.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/autopull.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/core.inc.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/cronjob.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/download.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/attivita.referente.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.tesserini.p.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/co.attivita.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/attivita.modifica.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quote.ricevuta.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.utente.documenti.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.referente.dimetti.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.cellulare.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quote.ricerca.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.password.nuova.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.statistiche.volontari.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.format.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quoteNo.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.beuser.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.titolo.nuovo.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.mail.nuova.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.utenti.dimessi.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.riserva.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.titolo.cancella.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.riserva.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/co.attivita.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.utente.nuovo.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quote.ricerca.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/patenti.richieste.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.storico.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/attivita.pagina.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.comitato.cancella.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.referenti.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/attivita.grazie.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.riservaRichiesta.stampa.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.email.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.titolo.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.titolo.modifica.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.comitato.modifica.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quoteSi.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.utenti.excel.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.appartenenzepending.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.cache.flush.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.presidente.nuovo.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.appartenenza.modifica.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.quote.nuova.ok.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/attivita.pagina.commento.cancella.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/us.elettoratoattivo.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.dash.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/utente.titolo.cancella.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/errore.comitato.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.admin.dimetti.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/admin.presidente.dimetti.php [] []
[2013-08-16 15:53:34] phpDocumentor.INFO: Parsing /home/alfioemanuele/gaia/inc/presidente.referente.nuovo.php [] []
